Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
Nishant Patel  ,  visual effects lighter: Rocket Science VFX (1 episode 2022) ,  human , vegetarian , 
Umapathy Rajarathinam  ,  compositor: Rocket Science VFX (4 episodes 2022) ,  vampire , vegetarian , 
Genesis Rivas  ,  compositor: Take 5 VFX (4 episodes 2022) ,  werewolf , flexitarian , 
Manish Rohith  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Luca Gabriele Rossetti  ,  digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , vegetarian , 
Salil Thapa  ,  visual effects line producer: NetFX Mumbai (5 episodes 2022) ,  vampire , vegetarian , 
Fran�ois Trudel  ,  visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022) ,  werewolf , vegetarian , 
Wesley While  ,  compositor: Take 5 VFX (5 episodes 2022) ,  vampire , flexitarian , 
Kaylie Whitcher  ,  visual effects producer: Folks VFX (5 episodes 2022) ,  mermaid , flexitarian , 
Sarah Wormsbecher  ,  visual effects executive producer: Folks VFX (5 episodes 2022) ,  mermaid , anything , 
Summer Zong  ,  cg supervisor: Folks VFX (5 episodes 2022) ,  werewolf , flexitarian , 
Oksana Andrulis  ,  visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022) ,  mermaid , vegetarian , 
David Dionne  ,  visual effects artist: MELS (2 episodes 2022) ,  seer , anything , 
Josh George  ,  fx lead: Folks VFX (3 episodes 2022) ,  seer , vegetarian , 
James Takashi Higuchi  ,  lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , flexitarian , 
Christopher Jude  ,  compositor: Rocket Science VFX (3 episodes 2022) ,  mermaid , vegetarian , 
Jos� Lasa  ,  compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022) ,  vampire , vegetarian , 
Marco Lee  ,  compositing supervisor: Folks VFX (3 episodes 2022) ,  vampire , flexitarian , 
Dinaaz Mathur  ,  visual effects production coordinator: NetFX Mumbai (4 episodes 2022) ,  vampire , vegetarian , 
Ben McDougal  ,  surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022) ,  werewolf , anything , 
Sumit Mukherjee  ,  paint supervisor: NetFX Mumbai (4 episodes 2022) ,  vampire , vegetarian , 
Isha Nigam  ,  head of production: NetFX Mumbai (4 episodes 2022) ,  mermaid , anything , 
Ryan Jae Wook Park  ,  layout supervisor: Folks VFX (3 episodes 2022) ,  seer , anything , 
Gustavo Sanchez-Perez  ,  fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Kyle Sim  ,  head of 2d: Folks VFX (4 episodes 2022) ,  seer , flexitarian , 
Pankaj Umbarkar  ,  junior paint lead: NetFX Mumbai (4 episodes 2022) ,  human , flexitarian , 
Sahil Agrahari  ,  junior paint artist: NetFX Mumbai (2 episodes 2022) ,  seer , anything , 
Chris Archinet  ,  visual effects artist: MELS (2 episodes 2022) ,  vampire , anything , 
Ajay Kumar Attinti  ,  roto lead: NetFX Mumbai (3 episodes 2022) ,  seer , anything , 
Samuel Boisvert  ,  visual effects artist: MELS (2 episodes 2022) ,  human , vegetarian , 
Reine Bourgault  ,  visual effects artist: MELS (2 episodes 2022) ,  seer , flexitarian , 
Aakash Chaudhari  ,  roto artist: NetFX Mumbai (2 episodes 2022) ,  werewolf , flexitarian , 
Dave David  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Amod Diwakar  ,  assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022) ,  mermaid , flexitarian , 
Nadine Fr�ve  ,  lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022) ,  human , anything , 
Mark Goldberg  ,  compositor (2 episodes 2022) ,  human , vegetarian , 
Leonardo Andres Grabau Villalba  ,  visual effects artist: MELS (2 episodes 2022) ,  vampire , vegetarian , 
Jonathan Gr�goire  ,  visual effects artist: MELS (3 episodes 2022) ,  seer , vegetarian , 
Jeanne Hebert  ,  visual effects artist: MELS (2 episodes 2022) ,  human , flexitarian , 
Pravin Hodage  ,  2d supervisor: NetFX Mumbai (2 episodes 2022) ,  vampire , anything , 
Cory Humes  ,  animation supervisor: Folks VFX (3 episodes 2022) ,  seer , flexitarian , 
Siddarth Jambhulkar  ,  compositor: Rocket Science VFX (2 episodes 2022) ,  vampire , flexitarian , 
Mukesh Joshi  ,  senior i/o coordinator: NetFX Mumbai (2 episodes 2022) ,  vampire , flexitarian , 
Simon Lecavalier  ,  cg supervisor: MELS (2 episodes 2022) ,  human , flexitarian , 
Christophe Longtin  ,  visual effects artist: MELS (2 episodes 2022) ,  human , vegetarian , 
Oleg Memukhin  ,  fx supervisor: Folks VFX (3 episodes 2022) ,  human , vegetarian , 
Waseem Mohammed  ,  head of central production: Monsters Aliens Robots Zombies (2 episodes 2022) ,  human , anything , 
Dany Richard  ,  visual effects artist: MELS (2 episodes 2022) ,  human , vegetarian , 
Nisarg Suthar  ,  lighting supervisor: Folks VFX (3 episodes 2022) ,  werewolf , anything , 
Nitesh Sutrave  ,  compositing supervisor: NetFX Mumbai (3 episodes 2022) ,  werewolf , vegetarian , 
Sarvesh Talekar  ,  roto artist: NetFX Mumbai (2 episodes 2022) ,  seer , flexitarian , 
Himani Tyagi  ,  junior paint artist: NetFX Mumbai (2 episodes 2022) ,  werewolf , flexitarian , 
Waseem Ahmad Khan  ,  paint artist: Stereo D (1 episode 2022) ,  human , vegetarian , 
Rodrigo Albano  ,  environment artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , flexitarian , 
Don Carlo Alvir  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Leanndro Amorim  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , vegetarian , 
Seshadri Anand  ,  tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , flexitarian , 
Blake Anderson  ,  visual effects supervisor: VFX Legion (1 episode 2022) ,  werewolf , flexitarian , 
Schuyler Anderson  ,  tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , anything , 
Edwin Arismendez  ,  visual effects artist: MELS (2 episodes 2022) ,  mermaid , flexitarian , 
Jessica Bayliss  ,  head of production: Monsters Aliens Robots Zombies (2 episodes 2022) ,  mermaid , vegetarian , 
Sudhakar Bhavanasi  ,  deputy manager: Stereo D (1 episode 2022) ,  vampire , anything , 
Alan Bisht  ,  compositing artist: NetFX Mumbai (1 episode 2022) ,  vampire , anything , 
William Blanchette  ,  visual effects artist: MELS (1 episode 2022) ,  seer , anything , 
Jordan Boulais  ,  visual effects artist: MELS (2 episodes 2022) ,  mermaid , anything , 
J. Alan Bradshaw  ,  head of cg: Monsters Aliens Robots Zombies (2 episodes 2022) ,  werewolf , anything , 
Peter Braeley  ,  digital matte painter: Folks VFX (1 episode 2022) ,  werewolf , vegetarian , 
Charlotte Breton  ,  visual effects editor: Folks VFX (1 episode 2022) ,  vampire , anything , 
Alex Bronfman  ,  sales lead: Monsters Aliens Robots Zombies (2 episodes 2022) ,  mermaid , flexitarian , 
Jonathan Bronfman  ,  head of studio: Monsters Aliens Robots Zombies (2 episodes 2022) ,  seer , vegetarian , 
Dennis Chan  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Hardik Chauhan  ,  senior compositing artist: NetFX Mumbai (1 episode 2022) ,  vampire , anything , 
Molly Chen  ,  assets artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , flexitarian , 
Sujesh V. Chitty  ,  concept artist: Folks VFX (1 episode 2022) ,  mermaid , anything , 
Nolan Conrad  ,  digital compositor: VFX Legion (1 episode 2022) ,  werewolf , anything , 
Andr�s Couturier  ,  graphic artist: VFX Legion (1 episode 2022) ,  mermaid , anything , 
Madhu Dasyapu  ,  assistant roto supervisor: Stereo D (1 episode 2022) ,  seer , flexitarian , 
Rodrigo de Angelis  ,  fx artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , anything , 
Sofia Diaz  ,  lighting artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , flexitarian , 
Maya Dumont-Deslandes  ,  visual effects studio manager: MELS (1 episode 2022) ,  mermaid , flexitarian , 
Abdullah Ecirli  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , vegetarian , 
Manoj Kumar Elangovan  ,  tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Michael Enzbrunner  ,  animation lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Timothy Fleur  ,  creature artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Adam Fok  ,  rigging lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Gil Franco  ,  assets artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , vegetarian , 
Emily Funk  ,  assets artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , vegetarian , 
Antonio Gallardo  ,  visual effects producer: VFX Legion (1 episode 2022) ,  human , vegetarian , 
Gregory Galliani  ,  modeling lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , anything , 
Igor Garanovschii  ,  matte painter: Rocket Science VFX (1 episode 2022) ,  seer , vegetarian , 
Kunal Ghai  ,  paint artist: Stereo D (1 episode 2022) ,  human , anything , 
Rakan Ghresi  ,  fx artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , vegetarian , 
Jimmy Gill  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , flexitarian , 
Yash Gowda  ,  head of 2d: Monsters Aliens Robots Zombies (2 episodes 2022) ,  human , vegetarian , 
Jameer Haider  ,  paint artist: NetFX Mumbai (1 episode 2022) ,  mermaid , vegetarian , 
Lewis Hawkes  ,  rigging lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , vegetarian , 
Jim Hillin  ,  visual effects lighter Ghost VFX Toronto (1 episode 2022) ,  seer , flexitarian , 
Curtis Hsiung  ,  animator: Rocket Science VFX (2 episodes 2022) ,  werewolf , flexitarian , 
Chen Kuang Hsu  ,  tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , flexitarian , 
Salvatore Iamonte  ,  rigging artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , vegetarian , 
Pragati Jana  ,  paint artist: Stereo D (1 episode 2022) ,  mermaid , flexitarian , 
Juyong Jeon  ,  visual effects artist (2 episodes 2022) ,  mermaid , vegetarian , 
Kenny Jia  ,  digital matte painter lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Laszlo Kalbache  ,  asset artist: Rocket Science VFX (1 episode 2022) ,  seer , flexitarian , 
Ashraf Karim  ,  senior compositing artist: NetFX Mumbai (1 episode 2022) ,  mermaid , vegetarian , 
Sharad Kate  ,  paint artist: Stereo D (1 episode 2022) ,  vampire , vegetarian , 
Min Kim  ,  compositing supervisor: Folks VFX (2 episodes 2022) ,  mermaid , flexitarian , 
Jamie Knoop  ,  visual effects production assistant: Stereo D (1 episode 2022) ,  vampire , vegetarian , 
Ashwini Lad  ,  visual effects administrator: Stereo D (1 episode 2022) ,  vampire , vegetarian , 
Nadege Lagueux-Beloin  ,  visual effects artist: MELS (1 episode 2022) ,  mermaid , vegetarian , 
Tukaram Landbale  ,  roto artist: NetFX Mumbai (1 episode 2022) ,  werewolf , anything , 
Dany Lebrasseur  ,  visual effects artist: MELS (1 episode 2022) ,  werewolf , anything , 
Kate T.C. Lin  ,  digital compositor: VFX Legion (1 episode 2022) ,  vampire , flexitarian , 
Matthias Lowry  ,  digital compositor: VFX Legion (1 episode 2022) ,  vampire , vegetarian , 
Jimmy Lue  ,  visual effects coordinator: Folks VFX (1 episode 2022) ,  werewolf , anything , 
Jim Maxwell  ,  matte painter: Take 5 VFX (2 episodes 2022) ,  vampire , flexitarian , 
Jay Mehta  ,  paint artist: NetFX Mumbai (1 episode 2022) ,  mermaid , flexitarian , 
Kristine Middlemiss  ,  head of technology: Monsters Aliens Robots Zombies (2 episodes 2022) ,  vampire , anything , 
Ali Mio  ,  visual effects producer: Rocket Science VFX (2 episodes 2022) ,  werewolf , flexitarian , 
Guto Miranda  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , flexitarian , 
Vashishta Mohit  ,  compositing artist: NetFX Mumbai (1 episode 2022) ,  vampire , flexitarian , 
Lon Molnar  ,  head of studio: Monsters Aliens Robots Zombies (2 episodes 2022) ,  vampire , anything , 
Jose Ignacio Narv�ez Monroy  ,  compositing lead: Mr. X (2 episodes 2022) ,  human , anything , 
Atyeb Muneer  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Ganesh Ramdas Nalle  ,  senior roto artist: NetFX Mumbai (1 episode 2022) ,  seer , vegetarian , 
Michael Naphan  ,  layout artist: Rocket Science VFX (1 episode 2022) ,  seer , vegetarian , 
Marla Oriol  ,  lighting artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , vegetarian , 
Daksh Pandya  ,  visual effects artist (2 episodes 2022) ,  human , anything , 
Niki Patterson  ,  data technician: Stereo D (1 episode 2022) ,  human , anything , 
Aravind Pauldurai  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , vegetarian , 
Victor Perez  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Navin Pinto  ,  rigging artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , anything , 
Norman Ran  ,  fx lead: Rocket Science VFX (1 episode 2022) ,  seer , flexitarian , 
Parastu Rezaie  ,  lighting lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , flexitarian , 
Jean-Christophe Rodier  ,  rigging artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Dmitry Ryabchuk  ,  environment lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , anything , 
Maryam Salehi  ,  i/o: MELS (1 episode 2022) ,  seer , anything , 
Rajvinder Sandhu  ,  lighting artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , vegetarian , 
Eric Sanford  ,  creature lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , vegetarian , 
Rohan Sapkal  ,  junior roto artist: NetFX Mumbai (1 episode 2022) ,  seer , flexitarian , 
Alexandre Savard-Boisvert  ,  digital compositor (1 episode 2022) ,  vampire , flexitarian , 
Mark Schreiber  ,  animator (1 episode 2022) ,  werewolf , vegetarian , 
Aryan Sehgal  ,  utility compositor (1 episode 2022) ,  mermaid , flexitarian , 
Ronak Shah  ,  fx lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , flexitarian , 
Neelima Sharma  ,  compositor: NetFX Mumbai (1 episode 2022) ,  mermaid , flexitarian , 
Vishal Shitole  ,  i/o coordinator: NetFX Mumbai (1 episode 2022) ,  human , flexitarian , 
Casey Sincic  ,  visual effects producer: Monsters Aliens Robots Zombies (2 episodes 2022) ,  human , anything , 
Lovelesh Singh  ,  compositing artist: NetFX Mumbai (1 episode 2022) ,  mermaid , vegetarian , 
Kalpana Mahapatro Siromani  ,  art director & mattepainting lead (1 episode 2022) ,  seer , anything , 
Joseph Soloway  ,  visual effects coordinator: VFX Legion (1 episode 2022) ,  vampire , anything , 
Meredith Sproul  ,  show coordinator: Monsters Aliens Robots Zombies (1 episode 2022) ,  seer , anything , 
Danny Testani  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , vegetarian , 
Ali Thaheem  ,  creature artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , anything , 
Hyacinthe Thomas  ,  i/o: MELS (1 episode 2022) ,  mermaid , anything , 
Phillip Thomas  ,  animation artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  human , vegetarian , 
Susana Vasquez  ,  visual effects production coordinator: Take 5 VFX (2 episodes 2022) ,  seer , flexitarian , 
Marcus Vinicius  ,  i/o: MELS (1 episode 2022) ,  werewolf , flexitarian , 
Louis Vottero  ,  rigging lead: Monsters Aliens Robots Zombies (1 episode 2022) ,  werewolf , anything , 
Tina Vuu  ,  visual effects coordinator: VFX Legion (1 episode 2022) ,  werewolf , flexitarian , 
Tanja Wax  ,  fx artist: Rocket Science VFX (1 episode 2022) ,  seer , anything , 
Christina Wise  ,  head of studio: MELS (1 episode 2022) ,  vampire , vegetarian , 
Jill Wu  ,  digital matte painter: Monsters Aliens Robots Zombies (1 episode 2022) ,  mermaid , vegetarian , 
Alphonso Young  ,  matte painter: Take 5 VFX (2 episodes 2022) ,  werewolf , flexitarian , 
Refo Yovarda  ,  visual effects production assistant: Stereo D (1 episode 2022) ,  human , vegetarian , 
Virpalsinh Zala  ,  compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,  vampire , vegetarian , 
Abin Abraham  ,  assets lead: MPC (uncredited) (8 episodes 2022) ,  vampire , vegetarian , 
Adrian Bobb  ,  creature artist (uncredited) (8 episodes 2022) ,  werewolf , vegetarian , 
Eddie Bonin  ,  visual effects executive: Netflix (uncredited) (8 episodes 2022) ,  seer , flexitarian , 
R�mi Bruschini  ,  pipeline td (uncredited) (8 episodes 2022) ,  human , flexitarian , 
Binod Kumar Das  ,  asset supervisor: MPC (uncredited) (8 episodes 2022) ,  werewolf , flexitarian , 
Tiago Foa  ,  imaging engineer: Mr. X (uncredited) (8 episodes 2022) ,  werewolf , vegetarian , 
Jaime Fok  ,  visual effects editorial lead (uncredited) (8 episodes 2022) ,  human , flexitarian , 
J.P. Giamos  ,  head of production: Rocket Science VFX (uncredited) (8 episodes 2022) ,  human , anything , 
Martin Hesselink  ,  Animation Supervisor (uncredited) (8 episodes 2022) ,  human , anything , 
Rushikesh Chandrashekhar Kamble  ,  3d digital matte painter (uncredited) (8 episodes 2022) ,  human , anything , 
Daniel May  ,  visual effects art direction (uncredited) (8 episodes 2022) ,  seer , flexitarian , 
Rachad Meya  ,  lighting supervisor (uncredited) (8 episodes 2022) ,  vampire , anything , 
