Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Jamie Sulek   ,   re-recording mixer (8 episodes 2022) ,   human  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Mike Tehrani   ,   adr mixer (8 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , anything ,   , anything , 
Marcus Byrne   ,   adr mixer (7 episodes 2022) ,   vampire  , anything ,  vegetarian  , flexitarian ,   , anything , 
Greg Crawford   ,   adr mixer (7 episodes 2022) ,   mermaid  , vegetarian ,  anything  , anything ,   , flexitarian , 
Juan Martin Del Campo   ,   adr mixer (7 episodes 2022) ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
Tim McKeever   ,   adr mixer (7 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
Simon Diggins   ,   adr mixer (6 episodes 2022) ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
Jonathan Gomez   ,   adr mixer (4 episodes 2022) ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Nathan Jackson   ,   foley editor (1 episode 2022) ,   vampire  , anything ,  flexitarian  , flexitarian ,   , anything , 
William Kellerman   ,   foley artist (1 episode 2022) ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Leslie Liu   ,   adr mixer (2 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
Ana Quiroga   ,   audio coordinator (uncredited) (8 episodes 2022) ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Dan Barcutean   ,   special effects technician (8 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
Max Costello   ,   special effects technician (7 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
Florin Stoian   ,   special effects technician (8 episodes 2022) ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Harry Troughton   ,   special effects coordinator (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
Jason Troughton   ,   special effects supervisor (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
Adrian Nica   ,   lead technician (4 episodes 2022) ,   werewolf  , anything ,  anything  , anything ,   , flexitarian , 
Ilinca Angelescu   ,   special effects makeup (1 episode 2022) ,   human  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Yovko Dogandjiiski   ,   special effects supervisor (2 episodes 2022) ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
Antonia Tocheva   ,   special effects office coordinator (2 episodes 2022) ,   human  , anything ,  anything  , vegetarian ,   , vegetarian , 
Matthew Adams   ,   digital compositor: Ghost VFX Toronto (8 episodes 2022) ,   seer  , anything ,  flexitarian  , flexitarian ,   , anything , 
Oana Bardan   ,   visual effects coordinator (8 episodes 2022) ,   human  , anything ,  vegetarian  , anything ,   , anything , 
Craig Calvert   ,   visual effects supervisor: Mr. X (8 episodes 2022) ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
Kevin Chandoo   ,   head of studio: Ghost VFX Toronto (8 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , anything , 
Nick Colangelo   ,   visual effects producer: Mr. X (8 episodes 2022) ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
John Coldrick   ,   visual effects supervisor: Rocket Science VFX (8 episodes 2022) ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Sam Cole   ,   lighting lead: Mr. X (8 episodes 2022) ,   human  , anything ,  anything  , vegetarian ,   , anything , 
Chris Cooper   ,   cg supervisor: Mr. X (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
Roger Dalupang   ,   lead render wrangler/pipeline td (8 episodes 2022) ,   human  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
Swedyl DSouza   ,   visual effects production manager (8 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Maxime Ducharme   ,   visual effects artist: MELS (2 episodes 2022) ,   seer  , anything ,  flexitarian  , anything ,   , flexitarian , 
Paula Fanaia   ,   digital compositor: Ghost VFX Toronto (8 episodes 2022) ,   werewolf  , anything ,  anything  , anything ,   , anything , 
Mariah Fleetham   ,   visual effects production assistant: Take 5 VFX (8 episodes 2022) ,   mermaid  , anything ,  anything  , flexitarian ,   , flexitarian , 
Kathryn Foster   ,   visual effects editor: Ghost VFX Toronto (8 episodes 2022) ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Ben Funk   ,   lead compositor: Take 5 VFX (8 episodes 2022) ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
Keith Goh   ,   visual effects assistant editor: MPC (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
Kari-Lyn Gravel   ,   visual effects associate line producer: Stereo D (8 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Jon Howard   ,   visual effects producer: Ghost VFX Toronto (6 episodes 2022) ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Kent Johnson   ,   visual effects producer (8 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
Anna Joukova   ,   compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022) ,   human  , anything ,  flexitarian  , vegetarian ,   , vegetarian , 
Jesse Kawzenuk   ,   on-set visual effects supervisor (8 episodes 2022) ,   vampire  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
Grant Lee   ,   visual effects supervisor: Stereo D (8 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Jake Lunt Davies   ,   concept design (8 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Dumitrana Teodora Lupu   ,   visual effects production assistant (8 episodes 2022) ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
Amy Madigan   ,   visual effects production manager: Stereo D (8 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Yael Majors   ,   visual effects assistant supervisor: Stereo D (3 episodes 2022) ,   vampire  , anything ,  vegetarian  , flexitarian ,   , anything , 
Mariano Mendoza   ,   assets lead: Mr. X (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
Guillermo Molina   ,   lead tools developer (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Skye Morandin   ,   visual effects production manager: Stereo D (8 episodes 2022) ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Tom Nagy   ,   animation supervisor: Mr. X (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Ken Nielsen   ,   compositing supervisor: Ghost VFX Toronto (8 episodes 2022) ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Razvan Nineaca   ,   data wrangler (8 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Anthony O'Connell   ,   Render Wrangler (8 episodes 2022) ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
Catalin Otelea   ,   data wrangler (8 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Matei Ovejan   ,   data wrangler (8 episodes 2022) ,   mermaid  , anything ,  anything  , vegetarian ,   , flexitarian , 
Alessandro Pantanella   ,   visual effects supervisor: Ghost VFX Toronto (8 episodes 2022) ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
Travis Pond   ,   compositor: Take 5 VFX (8 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Yawar Raja   ,   layout lead: Mr. X (8 episodes 2022) ,   vampire  , flexitarian ,  anything  , flexitarian ,   , anything , 
Aditya Sawant   ,   visual effects coordinator: Ghost VFX Toronto (8 episodes 2022) ,   human  , vegetarian ,  anything  , flexitarian ,   , anything , 
Matt Schofield   ,   vfx head of operations (8 episodes 2022) ,   werewolf  , anything ,  flexitarian  , anything ,   , anything , 
Ksenia Shutova   ,   compositor: Take 5 VFX (8 episodes 2022) ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , anything , 
Mark Simone   ,   visual effects producer: Stereo D (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , anything ,   , anything , 
Denis St-Pierre   ,   compositor: Take 5 VFX (8 episodes 2022) ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Ryan Terk   ,   Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022) ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Jason Teske   ,   rigging lead: Mr. X (8 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Tom Turnbull   ,   visual effects supervisor (8 episodes 2022) ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , anything , 
Fabi�n Varela   ,   visual effects producer: Ghost VFX Toronto (8 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Kelly Weisz   ,   visual effects studio manager: Take 5 VFX (8 episodes 2022) ,   mermaid  , flexitarian ,  anything  , anything ,   , anything , 
Angela Zhang   ,   visual effects production manager: Mr. X (8 episodes 2022) ,   seer  , anything ,  flexitarian  , flexitarian ,   , anything , 
Kayden Anderson   ,   visual effects producer: Rocket Science VFX (7 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Eddie Englander   ,   visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022) ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Rashid Khallouk   ,   compositing lead: Mr. X (6 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
Timothy Mah   ,   visual effects editor: Rocket Science VFX (7 episodes 2022) ,   werewolf  , flexitarian ,  anything  , anything ,   , vegetarian , 
Michael Osuszek   ,   visual effects coordinator: Rocket Science VFX (7 episodes 2022) ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
Rodrigo Paiva   ,   compositing lead: Monsters Aliens Robots Zombies (1 episode 2022) ,   vampire  , anything ,  vegetarian  , anything ,   , vegetarian , 
Suresh Pandi   ,   lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022) ,   human  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
Francois Robert   ,   matchmove/layout artist: MELS (3 episodes 2022) ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
Adam Smith   ,   lead compositor: Rocket Science VFX (7 episodes 2022) ,   vampire  , anything ,  flexitarian  , flexitarian ,   , anything , 
Sarvesh Amre   ,   visual effects production manager: NetFX Mumbai (6 episodes 2022) ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Beno�t Bri�re   ,   visual effects supervisor: MELS (6 episodes 2022) ,   mermaid  , anything ,  flexitarian  , anything ,   , flexitarian , 
Paul Chambers   ,   assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Dipak Gaur   ,   digital compositor: Ghost VFX Toronto (6 episodes 2022) ,   human  , anything ,  vegetarian  , anything ,   , vegetarian , 
Taraknath Ghosh   ,   paint artist: Stereo D (5 episodes 2022) ,   vampire  , anything ,  vegetarian  , anything ,   , vegetarian , 
Baz Lanaris   ,   cg supervisor: MELS (6 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
Prateek Mishra   ,   paint artist: Stereo D (5 episodes 2022) ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Erin Nicholson   ,   cg supervisor: Ghost VFX Toronto (6 episodes 2022) ,   werewolf  , anything ,  flexitarian  , anything ,   , anything , 
Bikram Singh   ,   paint artist: Stereo D (5 episodes 2022) ,   human  , anything ,  vegetarian  , flexitarian ,   , anything , 
Khushroo Surveyor   ,   visual effects lighter: Rocket Science VFX (5 episodes 2022) ,   seer  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
Ramesh Kumar Yanagandhula   ,   paint artist: Stereo D (5 episodes 2022) ,   mermaid  , anything ,  flexitarian  , anything ,   , vegetarian , 
Lynx Zuo   ,   digital compositor: Ghost VFX Toronto (6 episodes 2022) ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Patti Gannon   ,   compositor: Take 5 VFX (4 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Tanya Haddad   ,   visual effects producer: Folks VFX (5 episodes 2022) ,   werewolf  , anything ,  flexitarian  , anything ,   , vegetarian , 
JoAnna Johnson   ,   compositor: Rocket Science VFX (4 episodes 2022) ,   human  , flexitarian ,  anything  , anything ,   , vegetarian , 
Luca Lim Diniz   ,   visual effects artist: MELS (4 episodes 2022) ,   vampire  , anything ,  flexitarian  , vegetarian ,   , anything , 
Brodie McNeill   ,   visual effects supervisor: Folks VFX (5 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Tabata Ortiz   ,   visual effects artist: MELS (4 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Nishant Patel   ,   visual effects lighter: Rocket Science VFX (1 episode 2022) ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
Umapathy Rajarathinam   ,   compositor: Rocket Science VFX (4 episodes 2022) ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Genesis Rivas   ,   compositor: Take 5 VFX (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Manish Rohith   ,   compositing artist: Monsters Aliens Robots Zombies (1 episode 2022) ,   human  , anything ,  vegetarian  , anything ,   , flexitarian , 
Luca Gabriele Rossetti   ,   digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
Salil Thapa   ,   visual effects line producer: NetFX Mumbai (5 episodes 2022) ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
Fran�ois Trudel   ,   visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022) ,   mermaid  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
Wesley While   ,   compositor: Take 5 VFX (5 episodes 2022) ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
Kaylie Whitcher   ,   visual effects producer: Folks VFX (5 episodes 2022) ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , anything , 
Sarah Wormsbecher   ,   visual effects executive producer: Folks VFX (5 episodes 2022) ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
Summer Zong   ,   cg supervisor: Folks VFX (5 episodes 2022) ,   seer  , anything ,  flexitarian  , anything ,   , vegetarian , 
Oksana Andrulis   ,   visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
David Dionne   ,   visual effects artist: MELS (2 episodes 2022) ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
Josh George   ,   fx lead: Folks VFX (3 episodes 2022) ,   human  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
James Takashi Higuchi   ,   lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022) ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
Christopher Jude   ,   compositor: Rocket Science VFX (3 episodes 2022) ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
Jos� Lasa   ,   compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
Marco Lee   ,   compositing supervisor: Folks VFX (3 episodes 2022) ,   mermaid  , flexitarian ,  anything  , anything ,   , vegetarian , 
Dinaaz Mathur   ,   visual effects production coordinator: NetFX Mumbai (4 episodes 2022) ,   human  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
Ben McDougal   ,   surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022) ,   vampire  , anything ,  vegetarian  , flexitarian ,   , anything , 
